performRacecourse,performRacecourseNum,raceMonth,saleCount,saleRacecourse,saleRacecourseNum,saleValue
제주,02,202201,7204785,서울,01,87551335100
서울,01,202201,988327,부산경남,03,8911477400
서울,01,202201,15278509,서울,01,198607935900
서울,01,202201,464541,제주,02,7205000200
제주,02,202201,352646,제주,02,7517601000
제주,02,202201,366624,부산경남,03,3035226900
부산경남,03,202201,9237893,서울,01,114900631000
부산경남,03,202201,280764,제주,02,4065306000
부산경남,03,202201,607335,부산경남,03,5501637700
서울,01,202202,341356,제주,02,5496172400
서울,01,202202,11343650,서울,01,149319378300
서울,01,202202,740250,부산경남,03,6727844700
제주,02,202202,5470797,서울,01,64341333400
제주,02,202202,281653,부산경남,03,2217585500
제주,02,202202,271013,제주,02,5820874000
부산경남,03,202202,6848459,서울,01,86025861700
부산경남,03,202202,203827,제주,02,3079756300
부산경남,03,202202,463012,부산경남,03,4232860000
서울,01,202203,15747272,서울,01,216024106700
서울,01,202203,464339,제주,02,7636085300
서울,01,202203,1125812,부산경남,03,10286528800
제주,02,202203,7163095,서울,01,78816861000
제주,02,202203,426474,부산경남,03,3097561100
제주,02,202203,350979,제주,02,6825946600
부산경남,03,202203,9255394,서울,01,123295520900
부산경남,03,202203,688581,부산경남,03,6544309700
부산경남,03,202203,279522,제주,02,4347662400
서울,01,202204,584800,제주,02,9811094200
서울,01,202204,1341185,부산경남,03,12141963700
제주,02,202204,9598541,서울,01,116572934800
제주,02,202204,513827,제주,02,10832728800
제주,02,202204,575206,부산경남,03,4707536600
부산경남,03,202204,11209407,서울,01,147582265300
부산경남,03,202204,345874,제주,02,5537505300
부산경남,03,202204,839342,부산경남,03,7910647300
서울,01,202205,21673579,서울,01,290669031900
서울,01,202205,735333,제주,02,12190862000
서울,01,202205,1598692,부산경남,03,14780912500
제주,02,202205,489112,제주,02,9634745100
제주,02,202205,8493254,서울,01,98705061600
제주,02,202205,515036,부산경남,03,4157307100
부산경남,03,202205,12529428,서울,01,164394880900
부산경남,03,202205,420955,제주,02,6759805400
부산경남,03,202205,976662,부산경남,03,9204535600
서울,01,202206,19669749,서울,01,262853545900
서울,01,202206,681438,제주,02,11462788100
제주,02,202206,8771049,서울,01,104903176800
서울,01,202206,1438314,부산경남,03,13210964600
제주,02,202206,511185,제주,02,10724624000
제주,02,202206,540983,부산경남,03,4502044200
부산경남,03,202206,11464148,서울,01,146878446700
부산경남,03,202206,379422,제주,02,6121165300
부산경남,03,202206,899166,부산경남,03,8335740900
서울,01,202207,26364963,서울,01,360788588900
서울,01,202207,792891,제주,02,12878310400
서울,01,202207,1805482,부산경남,03,16845248200
제주,02,202207,10069396,서울,01,115459448500
제주,02,202207,587696,제주,02,11852884000
제주,02,202207,442251,부산경남,03,3034107700
부산경남,03,202207,16371814,서울,01,214430076100
부산경남,03,202207,1202879,부산경남,03,11367786200
부산경남,03,202207,542775,제주,02,8702549200
서울,01,202208,16775790,서울,01,212988243100
서울,01,202208,513276,제주,02,7697355100
제주,02,202208,12215360,서울,01,137921202100
서울,01,202208,1168359,부산경남,03,10628280800
제주,02,202208,720220,제주,02,14589476600
제주,02,202208,593791,부산경남,03,4321775500
부산경남,03,202208,12016497,서울,01,149022257900
부산경남,03,202208,403971,제주,02,6180746300
부산경남,03,202208,944907,부산경남,03,8758209800
서울,01,202209,479091,제주,02,7169862500
서울,01,202209,14805941,서울,01,187538851000
서울,01,202209,1028108,부산경남,03,9236076000
제주,02,202209,7625589,서울,01,85882058900
제주,02,202209,496258,제주,02,9906419000
제주,02,202209,325729,부산경남,03,2192291600
부산경남,03,202209,9765759,서울,01,120720889400
부산경남,03,202209,317085,제주,02,4543338100
부산경남,03,202209,707991,부산경남,03,6446102300
서울,01,202210,24029861,서울,01,306690917000
서울,01,202210,774655,제주,02,11899236400
서울,01,202210,1625010,부산경남,03,14446028900
제주,02,202210,610551,제주,02,12649972700
제주,02,202210,10021614,서울,01,113175396400
부산경남,03,202210,12718589,서울,01,158067406300
제주,02,202210,359951,부산경남,03,2207229400
부산경남,03,202210,387229,제주,02,5540636000
부산경남,03,202210,926034,부산경남,03,8453557900
서울,01,202211,19551764,서울,01,245698502200
서울,01,202211,628552,제주,02,9694705300
제주,02,202211,8190373,서울,01,91933999100
서울,01,202211,1322145,부산경남,03,11449877000
제주,02,202211,500713,제주,02,10639185000
제주,02,202211,307242,부산경남,03,1896445000
서울,01,202204,18538031,서울,01,251626184000
부산경남,03,202211,11497483,서울,01,140662627000
부산경남,03,202211,336371,제주,02,4839679400
부산경남,03,202211,822897,부산경남,03,7247969200
서울,01,202212,19930304,서울,01,248819982900
서울,01,202212,579121,제주,02,8844316900
제주,02,202212,8958715,서울,01,94535053000
서울,01,202212,1303170,부산경남,03,11287339800
제주,02,202212,471923,제주,02,9480270000
제주,02,202212,311125,부산경남,03,1902226500
부산경남,03,202212,12209039,서울,01,144292311900
부산경남,03,202212,328563,제주,02,4636099500
부산경남,03,202212,835222,부산경남,03,7211373800
서울,01,202301,17115189,서울,01,200452977600
서울,01,202301,1149628,부산경남,03,9299302000
서울,01,202301,492094,제주,02,7040547600
제주,02,202301,5432828,서울,01,46657879400
제주,02,202301,329673,제주,02,5616735500
제주,02,202301,253850,부산경남,03,1306302800
부산경남,03,202301,9424109,서울,01,109287253900
부산경남,03,202301,661786,부산경남,03,5546113000
부산경남,03,202301,302203,제주,02,4375810600
서울,01,202302,21655679,서울,01,267691691800
서울,01,202302,1472773,부산경남,03,12662734600
제주,02,202302,7281959,서울,01,76683604400
제주,02,202302,488005,제주,02,9962098200
제주,02,202302,352643,부산경남,03,2356305200
부산경남,03,202302,11768275,서울,01,135334781300
부산경남,03,202302,840030,부산경남,03,7055640600
서울,01,202303,20808482,서울,01,256414486000
서울,01,202303,636202,제주,02,9312772400
서울,01,202303,1467151,부산경남,03,12404259800
제주,02,202303,578108,제주,02,11768430400
제주,02,202303,10056762,서울,01,107127771200
제주,02,202303,457116,부산경남,03,3030364800
부산경남,03,202303,459410,제주,02,6717625500
부산경남,03,202303,13086627,서울,01,150210258400
부산경남,03,202303,937775,부산경남,03,7831456400
서울,01,202304,25715589,서울,01,318170311600
서울,01,202304,774170,제주,02,11682179900
서울,01,202304,1820279,부산경남,03,15678682900
제주,02,202304,10302618,서울,01,105427298700
제주,02,202304,481103,부산경남,03,3139475400
제주,02,202304,574578,제주,02,11447690600
부산경남,03,202304,13051669,서울,01,152480210100
부산경남,03,202304,453868,제주,02,6877326800
부산경남,03,202304,991047,부산경남,03,8516799900
서울,01,202305,19450264,서울,01,226947638900
서울,01,202305,601374,제주,02,8417217300
서울,01,202305,1398326,부산경남,03,11389959100
제주,02,202305,9820468,서울,01,99932657600
제주,02,202305,542716,제주,02,10251852100
제주,02,202305,486854,부산경남,03,3322312400
부산경남,03,202305,12117784,서울,01,141481555500
부산경남,03,202305,431818,제주,02,6354430400
부산경남,03,202305,887682,부산경남,03,7581546800
서울,01,202306,19433336,서울,01,226162536200
서울,01,202306,580239,제주,02,8033359900
서울,01,202306,1361254,부산경남,03,11373450400
제주,02,202306,10934265,서울,01,112729318800
제주,02,202306,603125,제주,02,11733424800
제주,02,202306,499476,부산경남,03,3568658500
부산경남,03,202306,13319325,서울,01,148642603200
부산경남,03,202306,469646,제주,02,6740165500
부산경남,03,202306,948719,부산경남,03,7881244400
서울,01,202307,20213869,서울,01,238888501200
서울,01,202307,1408842,부산경남,03,11980781800
서울,01,202307,646402,제주,02,8983517800
제주,02,202307,13430530,서울,01,134017795100
제주,02,202307,777482,제주,02,14097155000
제주,02,202307,700175,부산경남,03,5074883100
부산경남,03,202307,17737716,서울,01,197552420700
부산경남,03,202307,629029,제주,02,8995465400
부산경남,03,202307,1345091,부산경남,03,11321420600
서울,01,202308,23338826,서울,01,268012725800
서울,01,202308,786317,제주,02,11118394100
서울,01,202302,615891,제주,02,9055635400
제주,02,202308,7822657,서울,01,78622711700
서울,01,202308,1637272,부산경남,03,13388863600
제주,02,202308,446524,제주,02,8300610700
제주,02,202308,454429,부산경남,03,3466670700
부산경남,03,202302,393551,제주,02,5678475900
부산경남,03,202308,348574,제주,02,4955639700
부산경남,03,202308,9437889,서울,01,104771430400
서울,01,202309,20680348,서울,01,243280476100
서울,01,202309,716986,제주,02,10649273300
부산경남,03,202308,699913,부산경남,03,5730550100
서울,01,202309,1493064,부산경남,03,12477813700
제주,02,202309,526053,제주,02,9913752100
제주,02,202309,8936682,서울,01,89827488900
부산경남,03,202309,906327,부산경남,03,7696372200
부산경남,03,202309,466159,제주,02,6783527600
부산경남,03,202309,12060145,서울,01,134360281600
제주,02,202309,561510,부산경남,03,4219286500
제주,02,202310,9151956,서울,01,91168914400
서울,01,202310,1522408,부산경남,03,12983570000
서울,01,202310,782739,제주,02,11185921200
서울,01,202310,21684462,서울,01,250887445500
제주,02,202310,556418,제주,02,10746745100
제주,02,202310,576391,부산경남,03,4475131900
부산경남,03,202310,461084,제주,02,6482474100
부산경남,03,202310,853358,부산경남,03,7151835200
부산경남,03,202310,11444740,서울,01,122319072600
서울,01,202311,702522,제주,02,10085971100
서울,01,202311,19990400,서울,01,230567664400
제주,02,202311,7783111,서울,01,77725072000
서울,01,202311,1411199,부산경남,03,12059252300
제주,02,202311,489864,부산경남,03,3791757700
제주,02,202311,491000,제주,02,9336649800
부산경남,03,202311,11612031,서울,01,126462388200
부산경남,03,202311,469584,제주,02,6741880200
서울,01,202312,29284106,서울,01,328129285300
부산경남,03,202311,845579,부산경남,03,7162767300
서울,01,202312,882108,제주,02,12880917400
서울,01,202312,1938622,부산경남,03,16427902700
제주,02,202312,11303289,서울,01,109065301200
제주,02,202312,585224,제주,02,10815725900
제주,02,202312,664849,부산경남,03,5117191600
부산경남,03,202312,17090141,서울,01,182829237700
부산경남,03,202312,570172,제주,02,8417414500
서울,01,202401,22081927,서울,01,243489906900
부산경남,03,202312,1200217,부산경남,03,10394202700
서울,01,202401,670725,제주,02,9833176200
서울,01,202401,1559009,부산경남,03,13022653400
제주,02,202401,9813104,서울,01,94257780600
제주,02,202401,496141,제주,02,9454932100
부산경남,03,202401,12925275,서울,01,134473421200
제주,02,202401,614062,부산경남,03,4721704700
부산경남,03,202401,444372,제주,02,6453400000
서울,01,202402,1200532,부산경남,03,9951886100
서울,01,202402,516842,제주,02,7452773800
부산경남,03,202401,958952,부산경남,03,7998946300
제주,02,202402,7490345,서울,01,70700971800
제주,02,202402,375933,제주,02,7071376400
제주,02,202402,469072,부산경남,03,3603897200
부산경남,03,202402,9616154,서울,01,98109115200
부산경남,03,202402,724495,부산경남,03,5994189300
부산경남,03,202402,325124,제주,02,4779024400
서울,01,202403,28953019,서울,01,312379629400
서울,01,202403,788518,제주,02,11598989300
서울,01,202403,1915530,부산경남,03,16467001900
제주,02,202403,12991215,서울,01,119059008400
제주,02,202403,578535,제주,02,10682302500
부산경남,03,202403,16541697,서울,01,163120496600
제주,02,202403,800070,부산경남,03,6085923000
부산경남,03,202403,1198711,부산경남,03,10059840200
서울,01,202404,22703496,서울,01,239071320100
서울,01,202404,596454,제주,02,8682258400
서울,01,202404,1432379,부산경남,03,12400923400
제주,02,202404,9955379,서울,01,89867778500
제주,02,202404,458848,제주,02,8572576800
부산경남,03,202404,12953793,서울,01,125994097100
제주,02,202404,571410,부산경남,03,4381407400
부산경남,03,202404,386929,제주,02,5537117600
부산경남,03,202404,903086,부산경남,03,7482977500
서울,01,202405,21494848,서울,01,225754717100
서울,01,202405,601269,제주,02,8741151000
서울,01,202405,1378717,부산경남,03,11709226800
제주,02,202405,10833157,서울,01,98435205700
제주,02,202405,496032,제주,02,9179210900
제주,02,202405,614131,부산경남,03,4765824300
부산경남,03,202405,15254450,서울,01,152641696900
부산경남,03,202405,477557,제주,02,7010834000
부산경남,03,202405,1034605,부산경남,03,8781118400
서울,01,202406,30221781,서울,01,306141657300
서울,01,202406,1553466,부산경남,03,13995781200
서울,01,202406,703422,제주,02,10687460500
제주,02,202406,13420605,서울,01,116364505400
제주,02,202406,611147,부산경남,03,4926400000
제주,02,202406,498775,제주,02,9229674600
부산경남,03,202406,18845177,서울,01,180194331100
부산경남,03,202406,468197,제주,02,6977430100
부산경남,03,202406,1064421,부산경남,03,9313991700
서울,01,202407,26218601,서울,01,253539495100
서울,01,202407,565574,제주,02,8612032400
서울,01,202407,1293534,부산경남,03,10844202400
제주,02,202407,14237953,서울,01,119902987500
제주,02,202407,499781,제주,02,9424566000
제주,02,202407,597391,부산경남,03,4674264200
부산경남,03,202407,13543422,서울,01,124328278400
부산경남,03,202407,307954,제주,02,4662002200
부산경남,03,202407,707959,부산경남,03,5998564800
서울,01,202402,17310499,서울,01,187015984900
서울,01,202408,25136655,서울,01,237481102500
서울,01,202408,521677,제주,02,8080734000
제주,02,202408,14524949,서울,01,119169565400
서울,01,202408,1225219,부산경남,03,10097418900
제주,02,202408,500534,제주,02,9627910500
제주,02,202408,601746,부산경남,03,4537490400
부산경남,03,202408,22120246,서울,01,201161755800
부산경남,03,202408,499470,제주,02,7799686600
부산경남,03,202408,1119440,부산경남,03,9518027000
서울,01,202409,23163916,서울,01,222637940700
서울,01,202409,469742,제주,02,7625531300
서울,01,202409,1112357,부산경남,03,9446483800
제주,02,202409,10268662,서울,01,84519358400
제주,02,202409,420968,부산경남,03,3212874900
부산경남,03,202409,15714036,서울,01,142916387500
부산경남,03,202409,348062,제주,02,5550170100
부산경남,03,202403,504053,제주,02,7180700300
부산경남,03,202409,801299,부산경남,03,6786551000
서울,01,202410,26106092,서울,01,241622219500
서울,01,202410,539266,제주,02,8380780500
서울,01,202410,1198427,부산경남,03,9897796600
제주,02,202410,12113691,서울,01,97783273700
제주,02,202410,412562,제주,02,7876667000
제주,02,202410,485232,부산경남,03,3740086300
부산경남,03,202410,348654,제주,02,5448494000
부산경남,03,202410,15175621,서울,01,132799258900
부산경남,03,202410,743690,부산경남,03,6210019500
제주,02,202411,13456757,서울,01,112683435700
서울,01,202411,1693064,부산경남,03,12843373900
서울,01,202411,21681908,서울,01,230376512100
서울,01,202411,757485,제주,02,10488952100
제주,02,202411,565382,제주,02,9856042800
제주,02,202411,731913,부산경남,03,5221469900
부산경남,03,202411,15961298,서울,01,143746279600
부산경남,03,202411,463210,제주,02,6615015200
부산경남,03,202411,1001244,부산경남,03,7873565200
서울,01,202412,25782448,서울,01,261385652100
서울,01,202412,795359,제주,02,11026124300
서울,01,202412,1903674,부산경남,03,14755207400
제주,02,202412,447136,제주,02,7780323500
제주,02,202412,620619,부산경남,03,4420579600
부산경남,03,202412,16802822,서울,01,150280357600
부산경남,03,202412,472024,제주,02,6567716000
부산경남,03,202412,1115052,부산경남,03,8867365200
서울,01,202501,28820967,서울,01,257798154700
서울,01,202501,595494,제주,02,8729419400
서울,01,202501,1442672,부산경남,03,12535554800
제주,02,202501,12806845,서울,01,101682915800
